Respondent ID,Start Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Who do you think you will vote for in the 2020 general election?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,In what ZIP code is your home located? (enter 5-digit ZIP code; for example 00544 or 94305),Age,Gender,Household Income,Region,Device Type
11332874001,2020-02-08 19:11:48,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Very conservative,No,White or Caucasian,Neither / I don't intend to vote.,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,South Bend Mayor Pete Buttigieg,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,,,,,,,South Bend Mayor Pete Buttigieg,Fmr. V.P. Joe Biden,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,South Bend Mayor Pete Buttigieg,,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,8701,18-29,Male,$0-$9999,Middle Atlantic,iOS Phone / Tablet
11332867310,2020-02-08 19:00:52,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,No,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,South Bend Mayor Pete Buttigieg,Andrew Yang,Sen. Michael Bennet,,Fmr. NYC Mayor Michael Bloomberg,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,,Fmr. NYC Mayor Michael Bloomberg,,South Bend Mayor Pete Buttigieg,Fmr. V.P. Joe Biden,,,,,,,,,,,,,,,,Sen. Elizabeth Warren,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,Sen. Bernie Sanders,,,,,,,,,33327,18-29,Male,$25000-$49999,South Atlantic,Android Phone / Tablet
11332867185,2020-02-08 19:02:10,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,South Bend Mayor Pete Buttigieg,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,Andrew Yang,,,,,,Fmr. V.P. Joe Biden,,,,,,,,,Fmr. NYC Mayor Michael Bloomberg,,South Bend Mayor Pete Buttigieg,,,,,,,,,,,,,Fmr. V.P. Joe Biden,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,South Bend Mayor Pete Buttigieg,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,80537,30-44,Male,$25000-$49999,Mountain,Android Phone / Tablet
11332866161,2020-02-08 18:59:32,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,Hispanic or Latino,I'm not sure at this time,,,,Sen. Bernie Sanders,,,,,Tom Steyer,,,,,,,,,,,,Tom Steyer,,,,,,,Sen. Bernie Sanders,,,,,,,,,,,,,,,,,Tom Steyer,,,,,,,Sen. Bernie Sanders,,,,,,,,,93257,30-44,Male,$25000-$49999,Pacific,iOS Phone / Tablet
11332866106,2020-02-08 19:01:25,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,Sen. Bernie Sanders,,,Andrew Yang,Sen. Michael Bennet,,,,,,,,,,,Andrew Yang,Sen. Michael Bennet,,,,,Fmr. V.P. Joe Biden,,,,,,,,,,,,,,,Sen. Bernie Sanders,,,Andrew Yang,Sen. Michael Bennet,,,,,Fmr. V.P. Joe Biden,,,,,,,,,,,,76244,18-29,Male,$25000-$49999,West South Central,iOS Phone / Tablet
11332865201,2020-02-08 19:01:12,Yes I will likely vote in my state's Republican primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,,,,,,,,,Tom Steyer,,Fmr. Gov. Deval Patrick,,,,,,,,,,,,Fmr. Gov. Deval Patrick,,,,,,,,,,Tom Steyer,,,,,,,,,,,,,,Fmr. Gov. Deval Patrick,,,,,,,,,,Tom Steyer,,,,20762,18-29,Male,$75000-$99999,South Atlantic,iOS Phone / Tablet
11332863254,2020-02-08 18:57:08,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,Black or African American,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,South Bend Mayor Pete Buttigieg,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,,,,South Bend Mayor Pete Buttigieg,Fmr. V.P. Joe Biden,,,,,,Andrew Yang,,,,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,,,,,Fmr. V.P. Joe Biden,,Sen. Amy Klobuchar,,,,,,,,,,7304,45-60,Male,$10000-$24999,Middle Atlantic,Android Phone / Tablet
11332862155,2020-02-08 18:55:04,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,,Andrew Yang,,,,,,Fmr. V.P. Joe Biden,,,,Sen. Elizabeth Warren,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,,,,,,,,Fmr. V.P. Joe Biden,,,,Sen. Elizabeth Warren,,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,44281,18-29,Male,$10000-$24999,East North Central,Android Phone / Tablet
11332861413,2020-02-08 12:55:06,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,South Bend Mayor Pete Buttigieg,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sen. Bernie Sanders,,South Bend Mayor Pete Buttigieg,,,,,,,,,,,Sen. Elizabeth Warren,,,,,,,,77429,> 60,Male,$25000-$49999,West South Central,iOS Phone / Tablet
11332859132,2020-02-08 18:48:17,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,Sen. Bernie Sanders,,,,,,,,,,,,,,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,,Fmr. NYC Mayor Michael Bloomberg,,,36869,45-60,Male,$75000-$99999,East South Central,iOS Phone / Tablet
