Respondent ID,Start Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Who do you think you will vote for in the 2020 general election?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,In what ZIP code is your home located? (enter 5-digit ZIP code; for example 00544 or 94305),Age,Gender,Household Income,Region,Device Type
11400292021,2020-03-07 07:22:12,I don't know or I'd rather not say,I don't know or I'd rather not say,Unsure / Don’t know,Black or African American,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,23546,45-60,Male,$0-$9999,,Android Phone / Tablet
11400291433,2020-03-07 07:23:22,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,,,,,Fmr. V.P. Joe Biden,,,,,,,,88003,45-60,Male,$75000-$99999,Mountain,iOS Phone / Tablet
11400289969,2020-03-07 07:19:34,Yes I will likely vote in my state's Republican primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,14612,> 60,Male,$125000-$149999,Middle Atlantic,iOS Phone / Tablet
11400289519,2020-03-07 07:21:43,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,49079,> 60,Male,$25000-$49999,East North Central,Android Phone / Tablet
11400288883,2020-03-07 07:19:05,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,46385,45-60,Male,$75000-$99999,East North Central,iOS Phone / Tablet
11400281671,2020-03-07 07:14:30,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,8620,> 60,Male,$75000-$99999,Middle Atlantic,iOS Phone / Tablet
11400277305,2020-03-07 07:10:18,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,83644,> 60,Male,$50000-$74999,Mountain,Windows Desktop / Laptop
11400277168,2020-03-07 07:10:05,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Moderately liberal,Yes,White or Caucasian,Neither / I don't intend to vote.,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,62232,> 60,Male,$25000-$49999,East North Central,Windows Desktop / Laptop
11400276452,2020-03-07 07:09:14,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,11230,> 60,Male,$150000-$174999,Middle Atlantic,MacOS Desktop / Laptop
11400272914,2020-03-07 07:02:34,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,13041,45-60,Male,$50000-$74999,Middle Atlantic,Android Phone / Tablet
